opcode,symbol,reader,family,builder_affordance,raw_compose_mapping,mapping_fidelity,proposed_stage,status,source
0,HEADER,Header,Document and protocol,Document settings; theme; accessibility; diagnostics,CompositionLocal/MaterialTheme; semantics; host diagnostics; no wire-header equivalent,Infrastructure / host adapter,Foundation,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
2,COMPONENT_START,ComponentStart,Containers and structure,Implicit structural containers; Canvas layer,Composition tree / scopes; Canvas DrawScope,Compiler structure,Foundation,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
4,LOAD_BITMAP,,Reserved/unregistered,No authoring tile,No supported mapping asserted,Exclude from active-reader denominator,Not counted,No active reader in pinned registry,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
14,ANIMATION_SPEC,AnimationSpec,Animation and touch expressions,Animate property; drag value; spring/impulse response,animate*AsState/Animatable/updateTransition; pointerInput; spring/decay helpers,Equivalent goals; timing/physics parity separate,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
16,MODIFIER_WIDTH,WidthModifierOperation,Dimensions,Width/height/min/max/fill/wrap/weight,Modifier width/height/size/sizeIn/requiredSizeIn; parent weight,Direct with unit/constraint semantics,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
38,CLIP_PATH,ClipPath,Canvas state,Fill/stroke/gradient; clips; transform group; draw around content,Brush/Stroke/PathEffect; clipPath/clipRect; withTransform; drawWithContent,Equivalent canvas operations; matrix/paint state scopes preserved,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
39,CLIP_RECT,ClipRect,Canvas state,Fill/stroke/gradient; clips; transform group; draw around content,Brush/Stroke/PathEffect; clipPath/clipRect; withTransform; drawWithContent,Equivalent canvas operations; matrix/paint state scopes preserved,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
40,PAINT_VALUES,PaintData,Canvas state,Fill/stroke/gradient; clips; transform group; draw around content,Brush/Stroke/PathEffect; clipPath/clipRect; withTransform; drawWithContent,Equivalent canvas operations; matrix/paint state scopes preserved,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
42,DRAW_RECT,DrawRect,Drawing primitives,Canvas shapes,Canvas drawRect/drawRoundRect/drawCircle/drawOval/drawLine/drawArc(useCenter),Direct geometry; dp-to-px conversion explicit,First slice subset; later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
43,DRAW_TEXT_RUN,DrawText,Text drawing,Canvas text; text on path; bitmap text,TextMeasurer/drawText; path text/bitmap glyph layout helper or nativeCanvas,Ordinary text direct; path/bitmap text helper and platform checks,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
44,DRAW_BITMAP,DrawBitmap,Bitmap drawing,Image drawing; crop; offscreen layer,DrawScope.drawImage; graphics layer/ImageBitmap render target,Equivalent; offscreen support platform dependent,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
45,DATA_SHADER,ShaderData,Shaders,Advanced shader effect with typed uniforms,ShaderBrush; RuntimeShader on supported Android; Skia RuntimeEffect on supported CMP,Target-specific shader language/runtime; no universal source equivalent,Advanced,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
46,DRAW_CIRCLE,DrawCircle,Drawing primitives,Canvas shapes,Canvas drawRect/drawRoundRect/drawCircle/drawOval/drawLine/drawArc(useCenter),Direct geometry; dp-to-px conversion explicit,First slice subset; later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
